age,sex,height,weight
4.14,F,64.59,13.04
0.67,F,45.02,4.12
9.99,F,101.63,30.57
6.68,M,86.15,23.88
14.94,M,146.25,62.79
14.55,M,138.29,54.96
5.71,F,69.79,19.66
17.15,F,152.62,67.87
5.24,F,71.92,15.58
9.27,F,98.41,35.68
4.61,M,71.43,15.4
16.85,M,157.44,71.11
2.96,M,62.17,7.22
0.81,M,54.4,11.0
7.83,M,90.6,29.37
17.86,M,162.83,75.25
16.05,M,152.51,67.01
13.47,M,126.99,48.78
16.03,F,150.12,66.94
16.08,F,149.62,63.43
9.34,F,100.1,31.76
5.69,M,83.92,19.02
13.9,M,132.84,52.93
11.91,M,126.46,46.62
6.73,M,84.92,24.46
1.7,F,50.24,8.66
13.44,F,129.56,50.62
4.72,M,70.12,18.41
16.86,M,155.18,68.99
4.34,M,72.25,21.5
2.21,M,60.55,5.93
14.96,F,138.83,61.44
2.76,F,62.92,13.25
3.23,F,66.09,9.01
10.79,F,114.72,43.95
15.74,F,148.27,64.9
3.54,F,68.48,14.46
5.59,F,70.9,18.48
13.99,F,132.48,52.82
17.49,M,159.84,73.06
9.01,F,98.73,31.93
2.59,F,57.29,12.87
0.25,F,45.81,4.01
4.13,F,73.51,11.52
2.37,F,57.28,10.84
12.2,F,121.57,47.02
2.19,M,58.09,11.44
9.11,F,99.26,33.22
12.5,F,122.49,45.43
10.46,F,109.49,34.63
3.6,M,70.23,11.53
14.47,F,141.97,51.71
12.88,M,128.16,50.01
13.3,M,132.09,51.25
2.36,F,54.26,7.65
2.23,F,56.72,1.01
16.7,F,156.94,64.49
7.16,M,90.91,28.17
5.42,F,76.15,16.19
8.79,F,99.58,30.98
11.93,F,119.91,40.01
17.2,F,161.72,74.03
5.16,M,76.81,18.14
16.65,F,152.66,68.06
0.45,M,50.35,11.32
9.99,F,96.16,38.76
11.41,M,117.91,41.86
1.91,M,46.26,7.57
2.53,F,53.48,8.38
7.54,F,90.14,26.56
17.39,F,161.07,71.25
10.73,F,106.51,37.13
16.79,F,152.76,71.82
14.48,M,143.17,57.03
8.41,M,94.96,35.83
14.13,M,143.15,55.76
0.32,M,48.67,9.68
1.96,M,58.75,10.1
14.93,F,145.32,60.54
14.34,F,136.43,53.31
4.19,F,65.17,11.83
9.55,M,103.65,35.8
10.91,F,111.14,41.37
15.62,F,141.64,61.86
10.86,F,110.11,35.45
7.43,M,87.8,22.95
6.74,M,88.43,20.29
7.67,F,89.67,21.32
11.73,M,118.19,44.36
15.61,M,147.38,66.05
8.17,M,95.49,29.12
4.46,F,71.64,9.15
4.26,F,65.6,13.71
13.43,M,128.13,51.67
14.7,M,144.03,63.68
1.9,F,53.9,3.89
1.2,F,47.09,4.8
10.7,F,111.13,42.25
2.63,M,62.63,12.11
14.84,F,135.22,59.1
5.59,M,79.23,20.2
2.59,F,61.21,10.19
16.58,M,156.31,70.4
2.98,M,65.1,9.92
5.12,M,71.54,20.6
2.77,M,62.98,7.92
2.08,F,55.25,8.83
0.38,M,47.54,5.8
1.0,M,54.88,5.25
3.14,M,68.57,12.35
0.96,F,55.45,3.65
10.64,F,113.33,35.05
12.25,F,120.4,44.09
7.09,F,86.92,20.85
5.72,F,79.69,19.68
9.08,F,99.19,28.35
15.75,M,149.14,65.74
15.32,F,145.91,57.22
0.78,F,48.94,3.37
3.27,F,60.65,9.69
4.26,M,69.37,19.0
4.49,F,71.86,15.72
10.28,M,108.93,37.16
7.49,M,91.47,27.84
0.89,F,51.68,-0.24
6.73,M,84.46,23.71
9.43,M,105.4,39.12
1.83,F,55.92,7.69
15.0,M,139.31,60.18
0.94,F,54.26,6.52
16.65,M,154.23,71.08
1.78,M,51.57,3.75
15.18,F,139.27,55.26
16.25,F,147.54,65.67
17.63,M,163.72,72.59
14.44,F,135.92,58.88
14.03,F,132.7,52.77
11.56,M,119.69,38.48
14.02,F,134.66,50.34
2.42,M,61.01,3.54
9.65,F,103.85,32.95
9.26,F,101.83,31.46
15.44,F,138.01,59.73
8.33,F,92.78,30.96
6.93,M,80.35,27.55
11.51,M,117.57,42.65
4.8,M,73.77,12.02
2.52,F,61.73,10.71
8.6,F,99.21,30.71
7.5,M,91.13,27.41
4.19,F,66.67,16.42
6.62,F,84.36,19.02
6.6,F,81.19,26.88
5.89,M,80.43,18.55
6.83,F,87.21,24.57
12.34,F,119.7,41.17
5.34,M,79.49,16.79
17.08,M,161.18,75.04
16.49,M,151.67,67.34
8.66,M,100.93,33.14
5.91,F,80.63,20.09
9.64,F,102.85,33.23
15.27,F,140.8,63.34
11.75,M,116.54,43.55
14.48,F,135.45,51.37
9.59,M,105.85,32.78
11.39,F,111.76,42.42
5.19,M,77.44,19.59
13.23,M,126.06,47.18
3.64,F,64.39,10.53
12.51,M,124.87,46.2
15.49,F,152.1,60.17
2.38,F,53.69,5.36
11.06,F,116.71,37.99
1.71,F,54.58,5.24
13.06,M,129.81,52.23
1.52,F,53.45,8.6
16.85,M,158.64,69.58
2.47,F,57.89,8.07
17.26,M,164.95,72.61
14.42,M,137.22,54.96
10.69,F,113.1,35.06
14.09,M,134.2,52.99
14.31,F,135.63,53.38
17.03,F,153.53,66.55
4.56,F,71.75,15.52
10.62,F,113.59,39.47
1.71,F,53.9,3.09
11.09,M,113.92,41.26
3.08,M,60.45,11.68
10.17,M,107.46,38.07
10.3,F,102.29,36.25
8.39,M,93.51,26.35
9.41,M,103.68,30.89
13.75,M,137.59,53.73
14.39,M,146.79,59.42
8.86,M,97.58,26.3
10.79,M,116.75,40.76
16.76,M,157.37,72.45
2.16,M,58.12,9.32
2.11,M,59.61,10.96
1.58,M,55.59,6.46
11.84,F,118.12,42.78
7.53,M,89.5,22.7
13.94,M,130.82,48.73
12.08,M,116.87,48.04
6.01,F,81.07,17.36
16.17,F,149.18,63.59
13.73,F,129.66,48.57
4.87,M,74.24,14.06
6.56,M,86.91,22.78
5.66,M,79.54,18.33
2.84,F,58.43,10.99
2.66,F,63.08,10.69
16.85,F,160.07,69.27
7.88,F,92.44,27.15
6.9,F,87.61,26.88
13.13,F,130.83,46.48
9.95,F,108.08,34.67
16.85,M,159.18,72.8
14.05,M,137.61,58.29
8.63,F,97.38,25.87
6.77,M,82.61,23.21
17.76,M,166.68,78.51
12.92,F,121.47,49.39
17.12,M,157.1,71.97
2.13,F,60.36,7.6
15.31,F,145.88,59.16
11.47,M,121.61,43.6
2.19,F,55.98,7.68
10.59,F,105.57,37.4
12.35,F,120.7,45.62
0.22,M,48.46,3.3
8.18,F,93.11,29.01
14.86,F,143.32,65.05
5.32,F,73.82,13.08
8.25,M,96.43,30.28
7.96,M,90.51,26.45
5.43,F,76.97,19.35
16.53,M,154.84,68.32
14.06,M,133.7,57.12
1.99,M,56.96,12.21
17.95,M,165.54,76.67
15.83,M,148.52,67.19
5.11,M,80.98,12.49
15.06,F,141.19,62.81
1.92,M,56.52,10.02
17.98,M,160.1,79.1
11.98,M,118.11,42.17
11.7,F,116.02,40.36
1.63,M,53.62,8.71
16.15,F,153.96,64.55
0.52,F,47.24,4.88
4.33,F,72.91,17.13
2.57,F,59.1,4.91
13.98,M,135.46,57.24
3.57,F,64.3,12.14
16.39,M,153.74,66.92
11.81,F,122.75,39.26
0.65,F,41.46,5.73
0.1,F,39.5,-2.82
0.93,F,48.27,6.75
10.91,M,113.27,36.66
14.43,F,138.74,55.69
4.29,F,70.22,13.99
15.29,F,142.05,62.94
1.03,M,55.5,6.43
14.42,F,139.69,53.77
16.7,M,156.71,67.86
13.9,M,137.61,57.57
12.57,M,125.79,49.28
15.08,F,139.95,57.97
0.72,M,52.89,5.55
3.63,M,67.27,9.89
2.25,M,59.1,10.92
9.08,F,103.24,26.83
13.41,M,123.79,53.88
11.34,F,110.0,41.13
15.32,F,139.88,66.14
2.79,F,59.06,7.18
13.22,F,126.98,49.32
3.47,M,61.51,17.85
4.87,M,71.29,20.58
12.78,M,123.93,47.2
17.64,F,169.02,73.51
11.01,F,117.34,39.34
0.98,F,48.94,5.96
11.09,M,113.44,39.47
0.76,M,47.56,6.01
15.91,M,144.29,60.84
12.77,M,126.12,49.25
3.12,M,60.99,13.45
1.65,F,53.55,6.34
3.3,M,60.25,8.82
17.64,F,159.34,75.4
8.25,M,95.82,30.38
14.11,M,137.42,53.65
11.46,F,116.32,40.62
10.3,F,103.11,32.53
2.61,M,63.69,8.37
17.03,M,156.34,69.61
5.42,M,79.46,22.45
10.4,F,107.73,35.12
12.6,M,121.06,49.68
11.69,F,115.75,41.02
16.93,M,159.07,71.03
2.67,F,61.3,9.24
9.15,M,100.86,35.19
7.27,F,91.64,22.95
8.54,F,98.23,25.13
2.15,M,57.76,6.23
2.41,M,62.27,9.06
5.01,F,78.83,13.39
5.48,M,83.81,20.6
7.7,M,88.11,26.21
11.0,M,111.08,46.73
11.42,M,121.3,38.34
7.41,M,86.77,26.81
7.36,M,85.63,23.28
3.92,M,67.14,13.42
10.59,M,112.3,39.36
5.71,M,78.97,14.5
0.65,M,48.46,6.56
7.53,F,86.68,30.0
8.53,M,95.07,29.43
4.06,M,66.8,15.73
10.3,M,115.92,40.35
10.18,F,107.15,35.37
12.64,M,128.14,46.81
11.66,M,117.06,38.07
11.74,M,118.54,45.73
5.69,M,77.05,19.98
14.17,M,128.82,53.24
9.88,M,102.08,36.33
7.77,F,84.77,24.66
11.27,F,107.0,39.17
6.49,M,80.54,24.51
9.23,F,103.78,28.48
